Player	Age	MP	FG	FGA	3P	3PA	2P	2PA	eFG%	FT	FTA	TRB	AST	STL	BLK	TOV	SALARY
Jabari Parker	20	31.7	5.8	11.8	0.1	0.5	5.7	11.4	0.498	2.3	3	5.2	1.7	0.9	0.4	1.5	5152440
Dion Waiters	24	27.6	3.6	9.1	1.1	3.1	2.5	6	0.46	1.4	2	2.6	2	1	0.2	1.5	5138430
D'Angelo Russell	19	28.2	4.9	12	1.6	4.6	3.3	7.3	0.478	1.8	2.4	3.4	3.3	1.2	0.2	2.5	5103120
Chris Kaman	33	7	1.3	2.7	0.1	0.3	1.2	2.4	0.477	0.2	0.2	1.5	0.7	0.1	0.1	0.5	5016000
Darren Collison	28	30	5.1	10.5	1.2	2.9	3.9	7.6	0.542	2.6	3.1	2.3	4.3	1	0.1	1.8	5013559
Jonas Jerebko	28	15.1	1.5	3.7	0.6	1.4	1	2.3	0.488	0.8	1	3.7	0.8	0.3	0.3	0.7	5000000
C.J. Watson	31	19.9	1.4	4.2	0.4	1.5	1	2.7	0.394	1	1.2	2	2.7	0.6	0.2	0.8	5000000
Chris Andersen	37	14.9	1.4	2.7	0.1	0.5	1.3	2.1	0.556	0.9	1.3	3.6	0.4	0.6	0.5	0.3	5000000
Timofey Mozgov	29	17.4	2.7	4.7	0	0.1	2.7	4.6	0.567	0.9	1.3	4.4	0.4	0.3	0.8	0.9	4950000
Trevor Booker	28	20.7	2.4	4.9	0.2	0.5	2.3	4.4	0.505	0.9	1.3	5.7	1.1	0.7	0.5	1	4775000
Otto Porter Jr.	0		0		0		0		0		0		0		0		4662960
Jonas Valanciunas	23	26	5.1	8.9	0	0	5.1	8.9	0.565	2.7	3.6	9.1	0.7	0.4	1.3	1.4	4660482
Joel Embiid	0		0		0		0		0		0		0		0		4626960
Jahlil Okafor	20	30	7.5	14.7	0	0.1	7.5	14.6	0.509	2.5	3.7	7	1.2	0.4	1.2	2.3	4582680
Mike Dunleavy	35	22.7	2.5	6.1	1.3	3.2	1.2	2.9	0.513	0.9	1.2	2.7	1.3	0.5	0.3	0.8	4500000
Kyle Singler	27	14.4	1.3	3.3	0.4	1.4	0.8	1.8	0.457	0.4	0.6	2.1	0.4	0.4	0.1	0.5	4500000
C.J. Miles	28	22.9	4	9.9	2.2	6	1.8	3.9	0.521	1.5	1.9	2.7	1	0.8	0.5	1.1	4394225
Alexis Ajinca	27	14.6	2.5	5.3	0	0	2.5	5.3	0.476	0.9	1.1	4.6	0.5	0.3	0.6	0.9	4389607
Jared Dudley	30	25.9	2.9	6	1.2	2.9	1.6	3.1	0.581	0.9	1.2	3.5	2.1	0.9	0.2	1	4375000
Jameer Nelson	33	26.6	2.9	7.9	1.1	3.7	1.8	4.2	0.438	0.8	0.9	2.9	4.9	0.6	0.1	1.7	4345000
Mario Chalmers	29	22.5	3	7.3	0.8	2.4	2.2	4.8	0.462	3.6	4.3	2.6	3.8	1.4	0.2	1.8	4300000
Jason Smith	29	15.5	3.2	6.6	0.1	0.2	3.2	6.4	0.489	0.7	0.9	2.9	0.8	0.4	0.9	0.8	4300000
J.J. Barea	31	22.5	4.3	9.6	1.4	3.5	2.9	6.1	0.516	1	1.3	2.1	4.1	0.4	0	1.5	4290000
Damian Lillard	25	35.7	8.2	19.7	3.1	8.1	5.2	11.5	0.497	5.5	6.2	4	6.8	0.9	0.4	3.2	4236287
Cody Zeller	23	24.3	3.2	6	0	0.1	3.2	5.8	0.53	2.4	3.2	6.2	1	0.8	0.9	0.9	4204200
Aaron Gordon	20	23.9	3.5	7.4	0.5	1.8	3	5.6	0.509	1.7	2.5	6.5	1.6	0.8	0.7	0.8	4171680
Kristaps Porzingis	20	28.4	5.2	12.3	1.1	3.4	4.1	8.9	0.467	2.8	3.3	7.3	1.3	0.7	1.9	1.7	4131720
Vince Carter	39	16.8	2.2	5.7	1	2.8	1.2	2.9	0.474	1.2	1.4	2.4	0.9	0.6	0.3	0.6	4088019
Devin Harris	32	20	2.6	5.8	0.8	2.5	1.8	3.4	0.516	1.6	2.2	2.2	1.8	0.9	0.2	1	4053446
Lavoy Allen	26	20.2	2.4	4.7	0	0	2.4	4.7	0.516	0.6	0.9	5.4	1	0.3	0.5	0.9	4050000
Ian Mahinmi	29	25.6	3.7	6.3	0	0	3.7	6.3	0.589	1.9	3.2	7.1	1.5	0.9	1.1	1.4	4000000
Jordan Hill	28	20.7	3.8	7.5	0	0	3.8	7.5	0.506	1.2	1.7	6.2	1.2	0.5	0.5	1.3	4000000
Thabo Sefolosha	31	23.4	2.5	5	0.6	1.7	1.9	3.3	0.562	0.8	1.3	4.5	1.4	1.1	0.5	0.9	4000000
Raymond Felton	31	27.4	3.5	8.5	0.8	2.7	2.7	5.9	0.45	1.9	2.2	3.2	3.6	0.9	0.2	1.5	3950313
Nemanja Bjelica	27	17.9	1.8	3.9	0.8	2.1	1	1.8	0.57	0.7	0.9	3.5	1.4	0.4	0.4	0.8	3950001
Harrison Barnes	23	30.9	4.5	9.6	1.2	3.2	3.2	6.3	0.531	1.5	2	4.9	1.8	0.6	0.2	0.9	3873398
Marreese Speights	28	11.6	2.7	6.3	0.3	0.9	2.4	5.5	0.458	1.3	1.6	3.3	0.8	0.3	0.5	0.9	3815000
Alex Len	22	23.3	3.4	8	0	0.1	3.4	7.9	0.424	2.2	3.1	7.6	1.2	0.5	0.8	1.9	3807120
Dante Exum	0		0		0		0		0		0		0		0		3777720
Kyle O'Quinn	25	11.8	2	4.2	0.1	0.3	1.9	3.8	0.485	0.7	0.9	3.8	1.1	0.3	0.8	0.9	3750000
Nick Collison	35	11.8	0.8	1.8	0	0	0.8	1.8	0.459	0.4	0.6	2.9	0.9	0.3	0.3	0.8	3750000
Mario Hezonja	20	17.9	2.3	5.3	0.8	2.4	1.4	2.9	0.513	0.6	0.7	2.2	1.4	0.5	0.2	1.2	3741480
Patty Mills	0		0		0		0		0		0		0		0		3578947
Terrence Ross	24	23.9	3.7	8.6	1.8	4.6	1.9	3.9	0.536	0.7	0.8	2.5	0.8	0.7	0.3	0.6	3553917
Matt Barnes	35	28.8	3.5	9.1	1.6	4.9	1.9	4.3	0.467	1.5	1.8	5.5	2.1	1	0.8	1.6	3542500
Will Barton	25	28.7	5.2	12	1.4	4	3.8	8	0.489	2.6	3.3	5.8	2.5	0.9	0.5	1.7	3533333
Nerlens Noel	21	29.3	4.6	8.8	0	0	4.6	8.7	0.522	2	3.4	8.1	1.8	1.8	1.5	2.4	3457800
