Player	Age	MP	FG	FGA	3P	3PA	2P	2PA	eFG%	FT	FTA	TRB	AST	STL	BLK	TOV	SALARY
Gary Harris	21	32.1	4.7	10.1	1.4	3.9	3.3	6.2	0.538	1.4	1.8	2.9	1.9	1.3	0.2	1.3	1584480
Jerian Grant	23	16.6	2	5.1	0.3	1.3	1.7	3.8	0.422	1.3	1.6	1.9	2.3	0.7	0.1	1.1	1572360
Tony Snell	24	20.3	2	5.3	0.9	2.4	1.1	2.9	0.454	0.5	0.5	3.1	1	0.3	0.3	0.8	1535880
Bruno Caboclo	20	7.2	0.2	2	0.2	1.2	0	0.8	0.125	0	0	0.3	0.2	0.3	0.2	0.7	1524000
Delon Wright	23	8.5	1.3	3	0.2	0.5	1.1	2.5	0.481	1	1.3	1.4	1.1	0.3	0.1	0.6	1509360
Wayne Ellington	28	21.3	2.9	7.4	1.3	3.5	1.6	3.9	0.474	0.7	0.8	2.3	1.1	0.6	0.1	0.6	1500000
Shane Larkin	23	22.4	2.8	6.4	0.5	1.4	2.3	5.1	0.481	1.1	1.4	2.3	4.4	1.2	0.2	1.9	1500000
David West	35	18	3.1	5.7	0	0.1	3.1	5.7	0.548	0.8	1	4	1.8	0.6	0.7	0.9	1499187
Gorgui Dieng	26	27.1	3.8	7.1	0.1	0.2	3.7	6.8	0.537	2.5	3	7.1	1.7	1.1	1.2	1.7	1474440
Mitch McGary	23	3.6	0.6	1.2	0	0.2	0.6	1	0.478	0.2	0.5	0.9	0.2	0.1	0.1	0.4	1463040
Caron Butler	35	10.4	1.5	3.5	0.2	1.1	1.3	2.4	0.449	0.6	0.7	1.3	0.6	0.5	0.1	0.2	1449187
Justin Anderson	22	11.8	1.3	3.2	0.4	1.5	0.9	1.7	0.469	0.8	1	2.4	0.5	0.3	0.5	0.4	1449000
Mason Plumlee	25	25.4	3.3	6.3	0	0	3.3	6.3	0.516	2.6	4.1	7.7	2.8	0.8	1	1.9	1415520
Jordan Adams	21	7.5	1	3	0	0.5	1	2.5	0.333	1.5	2.5	1	1.5	1.5	0	1	1404600
Bobby Portis	20	17.8	3	7	0.3	0.8	2.7	6.2	0.445	0.8	1.1	5.4	0.8	0.4	0.4	0.9	1391160
Andrea Bargnani	30	13.8	2.8	6.1	0.1	0.3	2.7	5.7	0.461	1	1.2	2.1	0.4	0.1	0.2	0.6	1362897
Solomon Hill	24	14.7	1.6	3.5	0.4	1.3	1.2	2.3	0.505	0.6	0.7	2.8	1	0.6	0.2	0.6	1358880
Rodney Hood	23	32.2	5.2	12.3	2	5.7	3.1	6.6	0.503	2.2	2.5	3.4	2.7	0.9	0.2	1.6	1348440
Rondae Hollis-Jefferson	21	21.2	2.2	4.8	0.1	0.5	2	4.3	0.471	1.3	1.8	5.3	1.5	1.3	0.6	0.9	1335480
Alonzo Gee	28	22.4	1.8	3.5	0.2	0.8	1.6	2.7	0.551	0.6	0.9	3.4	1	0.9	0.2	0.8	1320000
Tim Hardaway Jr.	0		0		0		0		0		0		0		0		1304520
Nikola Jokic	20	21.7	3.8	7.5	0.4	1.1	3.5	6.5	0.535	1.9	2.4	7	2.4	1	0.6	1.3	1300000
Shabazz Napier	24	10.9	1.2	3.7	0.6	1.9	0.6	1.8	0.423	0.6	0.8	1	1.8	0.4	0	0.8	1294440
Tyus Jones	19	15.5	1.5	4.2	0.4	1.4	1.1	2.8	0.41	0.8	1.1	1.3	2.9	0.8	0.1	0.9	1282080
Sasha Kaun	30	3.8	0.4	0.7	0	0	0.4	0.7	0.529	0.2	0.4	1	0.1	0.2	0.2	0.3	1276000
Brandon Rush	30	14.7	1.5	3.6	0.9	2.2	0.6	1.4	0.552	0.3	0.4	2.5	0.8	0.3	0.3	0.5	1270964
Cartier Martin	0		0		0		0		0		0		0		0		1270964
Reggie Bullock	24	11.6	1.2	2.6	0.6	1.4	0.6	1.2	0.551	0.4	0.4	1.8	0.7	0.3	0.1	0.2	1252440
Clint Capela	21	19.1	3	5.2	0	0	3	5.1	0.582	1	2.7	6.4	0.6	0.8	1.2	0.8	1242720
Jarell Martin	21	14.1	2	4.3	0	0.1	2	4.2	0.466	1.7	2.3	3.2	0.6	0.3	0.3	0.7	1230840
Andre Roberson	24	22.2	1.9	3.9	0.5	1.5	1.5	2.4	0.555	0.5	0.8	3.6	0.7	0.8	0.6	0.5	1210800
P.J. Hairston	23	19.9	2.2	6.2	1.1	3.7	1.1	2.5	0.441	0.8	1	2.6	0.6	0.5	0.2	0.6	1201440
Boban Marjanovic	27	9.4	1.9	3.2	0	0	1.9	3.2	0.603	1.6	2.1	3.6	0.4	0.2	0.4	0.5	1200000
Reggie Williams	0		0		0		0		0		0		0		0		1185784
Earl Clark	0		0		0		0		0		0		0		0		1185784
Rudy Gobert	23	31.7	3.2	5.8	0	0	3.2	5.8	0.559	2.6	4.6	11	1.5	0.7	2.2	1.9	1175880
Jordan Mickey	21	3.6	0.5	1.4	0	0	0.5	1.4	0.364	0.3	0.6	0.8	0.1	0	0.7	0.1	1170960
Toney Douglas	29	20.7	3	7.3	1.3	3.3	1.7	4	0.502	1.4	1.6	2.3	2.6	1.1	0.1	1	1164858
Archie Goodwin	21	19.5	3.1	7.4	0.4	1.7	2.7	5.7	0.444	2.3	3.4	2.5	2.1	0.5	0.2	1.8	1160160
CJ Wilcox	0		0		0		0		0		0		0		0		1159680
Larry Nance Jr.	23	20.1	2.5	4.8	0	0.2	2.5	4.6	0.528	0.5	0.7	5	0.7	0.9	0.4	0.7	1155600
Chris Copeland	31	6.5	0.7	2.1	0.4	1.5	0.3	0.6	0.431	0.3	0.3	0.4	0.5	0.1	0	0.3	1150000
Damjan Rudez	29	8.4	0.8	1.9	0.5	1.5	0.2	0.4	0.54	0.2	0.2	0.6	0.3	0.1	0	0.4	1149500
R.J. Hunter	22	8.8	1	2.7	0.5	1.8	0.5	1	0.464	0.2	0.2	1	0.4	0.4	0.1	0.3	1148640
Matthew Dellavedova	25	24.6	2.7	6.7	1.3	3.1	1.4	3.6	0.501	0.8	0.9	2.1	4.4	0.6	0.1	1.5	1147276
Kyle Anderson	22	16	1.8	3.8	0.2	0.5	1.6	3.3	0.488	0.8	1.1	3.1	1.6	0.8	0.4	0.8	1142880
Chris McCullough	20	15.1	1.8	4.5	0.5	1.4	1.3	3.1	0.463	0.5	1	2.8	0.4	1.2	0.5	0.6	1140240
Josh Huestis	24	11	1	2.4	0.8	1.2	0.2	1.2	0.583	0	0.8	2	0	0.2	0.4	0.6	1140240
Kevon Looney	19	4.2	0.8	1.4	0.2	0.4	0.6	1	0.643	0	0	2	0	0	0	0.2	1131960
Garrett Temple	29	24.4	2.5	6.3	1.1	3.2	1.4	3.1	0.486	1.1	1.6	2.7	1.8	0.9	0.2	0.8	1100602
Luke Babbitt	26	18	2.6	6.1	0.9	2.3	1.7	3.8	0.498	0.8	1.1	3.1	1.1	0.2	0.1	0.5	1100602
Cole Aldrich	27	13.3	2.2	3.8	0	0	2.2	3.8	0.596	1	1.4	4.8	0.8	0.8	1.1	1.1	1100602
Jeremy Evans	28	8.4	0.9	1.6	0.1	0.5	0.7	1.1	0.583	0.5	0.7	1.8	0.1	0.2	0.3	0.2	1100602
Glenn Robinson III	0		0		0		0		0		0		0		0		1100000
Richaun Holmes	22	13.8	2.2	4.4	0.2	0.9	2.1	3.5	0.532	1	1.5	2.6	0.6	0.4	0.8	0.6	1074169
Jon Leuer	26	18.7	3.3	7	0.6	1.6	2.7	5.3	0.526	1.1	1.5	5.6	1.1	0.6	0.4	1.1	1035000
Jordan Hamilton	25	27.6	4.5	10.5	1.2	4.1	3.3	6.5	0.478	1.3	1.9	5.6	2.3	0.7	0.3	1.5	1015421
James Anderson	26	14.1	1.3	3.5	0.5	1.7	0.9	1.8	0.441	0.4	0.6	1.7	0.8	0.4	0.3	0.8	1015421
Joey Dorsey	0		0		0		0		0		0		0		0		1015421
Rakeem Christmas	24	6	2	2	0	0	2	2	1	0	0	1	0	0	0	0	1007026
Joe Young	23	9.4	1.5	4.1	0.2	1.1	1.3	3	0.396	0.5	0.6	1.2	1.6	0.4	0	0.8	1007026
Robert Covington	25	28.4	4.1	10.6	2.5	7.2	1.6	3.4	0.504	2.1	2.6	6.3	1.4	1.6	0.6	2.1	1000000
Kris Humphries	30	15.8	2.3	5.6	0.6	2	1.6	3.5	0.468	1.3	1.6	4.1	0.7	0.3	0.4	0.7	1000000
Montrezl Harrell	22	9.7	1.5	2.3	0	0	1.5	2.3	0.644	0.6	1.2	1.7	0.4	0.3	0.3	0.4	1000000
Walter Tavares	23	6.6	1	1.7	0	0	1	1.7	0.579	0.3	0.7	1.9	0.3	0.1	0.5	0.5	1000000
Hassan Whiteside	26	29.1	5.7	9.3	0	0	5.7	9.3	0.606	2.9	4.5	11.8	0.4	0.6	3.7	1.9	981348
Thomas Robinson	24	12.9	1.8	4.1	0	0	1.8	4.1	0.447	0.7	1.5	5.1	0.6	0.5	0.5	1	981348
John Jenkins	24	11.2	1.7	3.7	0.4	1.2	1.3	2.5	0.494	0.5	0.6	1.3	0.8	0.2	0	0.6	981348
Robert Sacre	26	12.8	1.2	3	0	0	1.2	3	0.413	1	1.5	2.9	0.6	0.2	0.4	0.5	981348
Chris Johnson	25	12.2	1	2.8	0.4	1.4	0.6	1.4	0.441	0.5	0.6	1.9	0.6	0.5	0.3	0.6	981348
Jerel McNeal	0		0		0		0		0		0		0		0		981348
Pablo Prigioni	38	13.9	0.9	2.5	0.5	1.6	0.5	0.9	0.469	0.1	0.1	1.9	2.2	0.9	0	0.8	947726
Isaiah Canaan	24	25.5	3.4	9.4	2.3	6.3	1.1	3.1	0.482	1.9	2.3	2.3	1.8	0.7	0.2	1.2	947276
Troy Daniels	24	11.1	2.1	4.3	1.4	2.8	0.7	1.5	0.634	0.1	0.2	1.3	0.5	0.3	0.1	0.6	947276
Willie Reed	25	10.9	1.9	3.4	0	0	1.9	3.4	0.571	0.8	1.4	3.1	0.3	0.2	0.8	0.4	947276
Jeff Withey	25	12.9	1.7	3.2	0	0	1.7	3.1	0.537	0.8	1.2	3.4	0.4	0.4	1	0.5	947276
Tyler Hansbrough	30	7.8	0.7	1.6	0	0.1	0.7	1.5	0.465	0.9	1.5	2	0.2	0.3	0.2	0.3	947276
John Lucas III	0		0		0		0		0		0		0		0		947276
Damien Wilkins	0		0		0		0		0		0		0		0		947276
Grant Jerrett	0		0		0		0		0		0		0		0		947276
Jason Richardson	0		0		0		0		0		0		0		0		947276
Raul Neto	23	18.5	2.2	5.2	0.8	2	1.4	3.2	0.507	0.6	0.9	1.5	2.1	0.8	0	1.3	900000
Jimmer Fredette	26	3	0.3	0.8	0.2	0.3	0.2	0.5	0.5	0.7	0.8	0	0.2	0.2	0	0.3	874837
Damien Inglis	20	7.8	0.7	1.9	0.2	0.7	0.5	1.2	0.392	0.4	0.4	1.6	0.5	0.3	0.2	0.6	855000
Jerami Grant	21	26.8	3.3	7.8	0.5	1.9	2.8	5.9	0.448	2.8	4.2	4.7	1.8	0.7	1.6	1.4	845059
Tyler Johnson	23	24	3.3	6.8	0.8	2	2.5	4.8	0.541	1.4	1.8	3	2.2	0.7	0.4	1.3	845059
Langston Galloway	24	24.8	2.8	7.2	0.9	2.7	1.9	4.4	0.458	1	1.4	3.5	2.5	0.9	0.3	0.7	845059
JaMychal Green	25	18.5	2.9	6.3	0.2	0.6	2.8	5.8	0.48	1.3	1.8	4.8	0.9	0.6	0.4	1.1	845059
James Ennis	25	15	2.5	5.1	1.2	2.6	1.3	2.5	0.593	1.1	1.5	1.9	1	0.7	0.2	0.9	845059
Spencer Dinwiddie	22	13.3	1.6	4.5	0.1	0.8	1.5	3.7	0.361	1.6	2.8	1.4	1.8	0.3	0	0.6	845059
Elijah Millsap	28	8.7	0.6	2	0.1	0.6	0.5	1.4	0.295	0.7	0.9	1.8	1	0.4	0.2	0.5	845059
Russ Smith	24	4.4	0.5	1.5	0.1	0.3	0.4	1.1	0.341	0.5	0.9	0.6	0.7	0.3	0.1	0.5	845059
Terrico White	0		0		0		0		0		0		0		0		845059
Jack Cooley	0		0		0		0		0		0		0		0		845059
Kostas Papanikolaou	25	11.3	0.9	2.5	0.4	1.2	0.5	1.3	0.439	0.3	0.5	1.5	0.6	0.5	0.2	0.8	800321
Bryce Cotton	23	4.9	0.5	1.3	0	0.4	0.5	0.9	0.4	0	0	0	0.4	0.4	0	0.6	700902
Anthony Brown	23	20.7	1.3	4.3	0.7	2.4	0.7	1.9	0.389	0.6	0.7	2.4	0.7	0.5	0.2	0.5	700000
Norman Powell	22	14.8	2	4.7	0.7	1.8	1.2	2.9	0.502	0.9	1.1	2.3	1	0.6	0.2	0.7	650000
Pat Connaughton	23	4.2	0.4	1.4	0.1	0.6	0.2	0.8	0.316	0.1	0.1	0.9	0.3	0.1	0	0.3	625093
Darrun Hilliard	22	10.1	1.4	3.4	0.5	1.3	0.9	2.1	0.469	0.8	1.1	1.2	0.7	0.2	0	0.5	600000
Jarell Eddie	24	5.7	0.8	2.5	0.6	1.8	0.2	0.7	0.423	0.3	0.3	0.9	0.2	0.2	0	0	561716
Josh Richardson	22	21.3	2.4	5.2	1	2.2	1.3	3	0.55	0.8	1.2	2.1	1.4	0.7	0.5	0.7	525093
Christian Wood	20	8.5	1.3	3.1	0.2	0.6	1.1	2.5	0.453	0.8	1.2	2.2	0.2	0.3	0.4	0.1	525093
Cristiano Felicio	23	10.4	1.3	2.3	0	0.1	1.3	2.2	0.556	0.8	1.1	3.3	0.8	0.2	0.4	0.4	525093
Luis Montero	22	3.5	0.4	1.6	0.1	0.8	0.3	0.8	0.289	0.3	0.3	0.3	0.1	0	0	0.3	525093
Aaron Harrison	21	4.4	0.2	0.9	0.1	0.5	0.1	0.4	0.342	0.2	0.6	0.7	0.1	0.3	0	0.2	525093
Greg Whittington	0		0		0		0		0		0		0		0		525093
Deonte Burton	0		0		0		0		0		0		0		0		525093
Kyle Casey	0		0		0		0		0		0		0		0		525093
Treveon Graham	0		0		0		0		0		0		0		0		525093
Jarrid Famous	0		0		0		0		0		0		0		0		525093
Shannon Scott	0		0		0		0		0		0		0		0		525093
Ronald Roberts Jr.	0		0		0		0		0		0		0		0		525093
Terran Petteway	0		0		0		0		0		0		0		0		525093
Michael Beasley	27	18.2	5.4	10.3	0.2	0.5	5.2	9.8	0.529	1.9	2.5	4.9	0.8	0.6	0.5	1.2	306527
Steve Novak	32	4.4	0.8	1.8	0.7	1.5	0.1	0.3	0.639	0.1	0.1	0.5	0	0	0	0.1	295327
Anderson Varejao	33	9.4	1	2.3	0	0	1	2.3	0.427	0.6	0.9	2.7	0.7	0.3	0.2	0.4	289755
JJ Hickson	0		0		0		0		0		0		0		0		273038
Joe Johnson	34	33.4	4.7	10.6	1.5	3.9	3.2	6.7	0.509	1.5	1.8	3.6	3.9	0.8	0	2	261894
JaKarr Sampson	22	15.9	1.9	4.3	0.2	0.9	1.7	3.5	0.464	1.1	1.7	2.6	0.6	0.3	0.5	1	258489
Andre Miller	39	11.8	1.5	2.7	0.1	0.2	1.5	2.5	0.566	0.6	0.8	1.3	2.2	0.4	0	0.9	250750
Jason Thompson	29	10	1.1	2.3	0.1	0.3	1	2	0.505	0.8	1.1	2.9	0.6	0.3	0.4	0.3	245177
Ryan Hollins	31	12.4	1.3	2.1	0	0	1.3	2.1	0.62	0.7	1.1	2.6	0.3	0.2	0.6	0.6	239605
Nazr Mohammed	38	3.8	0.6	1	0	0	0.6	1	0.6	0.4	0.4	0.8	0	0	0	0.6	222888
Ty Lawson	28	21.4	2.1	5.4	0.5	1.6	1.6	3.7	0.444	0.9	1.3	1.8	3.6	0.8	0.1	1.4	211744
Chase Budinger	27	14.1	1.6	3.6	0.4	1.3	1.2	2.3	0.485	0.6	0.8	2.3	1	0.5	0.2	0.7	206192
Marcus Thornton	28	18.2	3.5	8.9	1.5	4.4	2	4.5	0.482	1.1	1.3	2.5	1.4	0.8	0.1	0.8	200600
Kevin Martin	32	19.9	2.8	7.6	0.9	2.5	1.9	5.1	0.431	2.8	3.1	2	1.1	0.5	0.1	1	200600
Andrew Goudelock	27	6.3	1.1	2.5	0.1	1.1	1	1.4	0.475	0.4	0.5	0.3	0.5	0.8	0.3	0.9	200600
Jorge Gutierrez	27	5.3	0.5	0.9	0	0.2	0.5	0.8	0.545	0.8	0.9	0.6	1.4	0.3	0	0.5	189455
Bryce Dejean-Jones	23	19.9	2	4.9	0.9	2.3	1.1	2.6	0.493	0.8	1.5	3.4	1.1	0.7	0.1	0.8	169883
Tony Wroten	22	18	2.8	8.1	0.4	2.1	2.4	6	0.362	2.5	4.6	2.6	2.5	0.4	0	3.6	167406
Sean Kilpatrick	26	19.9	4	8.7	1.3	3.7	2.7	5	0.528	1.9	2.2	1.8	0.9	0.4	0.1	1	134215
Lorenzo Brown	25	7.6	1	3.1	0.1	1	0.9	2.1	0.34	0.4	0.5	0.9	1.4	0.4	0.1	1.1	111444
Jeff Ayres	28	6.3	0.7	1.4	0	0.1	0.7	1.3	0.522	0.4	0.4	1.3	0.3	0	0.2	0.4	111444
Jordan McRae	24	8.9	1.5	3.5	0.5	1	1.1	2.5	0.5	1	1.3	0.9	1.1	0.1	0	0.7	111196
Erick Green	24	4.7	0.6	1.4	0.1	0.6	0.4	0.9	0.423	0.2	0.2	0.7	0.3	0.1	0	0	99418
Alan Williams	23	6.8	1	2.4	0	0	1	2.4	0.417	0.9	1.4	3.8	0.5	0.4	0.5	0.6	83397
Keith Appling	23	5.4	0.4	1.6	0	0.6	0.4	1	0.25	0.4	0.4	0.2	0.2	0.2	0	0.6	61776
Orlando Johnson	26	14.4	1.3	4.9	0.3	1.4	1	3.4	0.294	0.9	1.1	2.1	0.3	0.4	0.4	0.6	55722
Phil Pressey	24	12.3	1.3	3.4	0.2	0.8	1.1	2.6	0.41	0.6	1.1	1.3	3.3	0.8	0.2	1.4	55722
Elliot Williams	26	9	0.4	2	0.2	0.8	0.2	1.2	0.25	0.6	0.8	0.8	0.8	0	0	0.2	55722
Cory Jefferson	25	6.3	1.1	2.8	0	0.1	1.1	2.6	0.409	0.5	0.8	2	0	0	0.1	0	49709
Thanasis Antetokounmpo	23	3	1.5	2	0	0.5	1.5	1.5	0.75	0	0	0.5	0	0	0	0	30888
